id	ref	cat2	cat3	slug
2895	HER AT10 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-10-pouces
2896	HER AT12 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-12-pouces
2897	HER AT13 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-13-pouces
2898	HER AT14 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-14-pouces
2899	HER AT15 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-15-pouces
2900	HER AT16 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-16-pouces
2901	HER AT18 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-18-pouces
2902	HER AT20 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-20-pouces
2903	HER AT22 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-22-pouces
2904	HER AT24 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-24-pouces
2905	HER CS06 06	instruments-peaux	peaux-de-rechange	peau-remo-cs-pour-tom-6-pouces
